,Symbol,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2011-09-30,2011-12-31
Market Capitalization,CSII,202087473.65,175421920.2,166527444.75,178189904.64,237753144.36,264524344.35,431937208.32,509686711.2,1021140700.92,981659750.06,968600560.72,743314188.51,949696889.6,1238193889.28,843705379.8,513875086.56,494951960.16,338935102.15,602726094.86,784516313.2,800461113.03,924868299.88,1058741415.49,928718832.2,808338642.97,728476770.75,1075570349.7,1311407618.4,992146187.34,1346259035.68,1495087993.26,1672699010.4,1712886565.47,1242014405.59,1251773540.75,1578992846.05,1758784809.84,1539800153.1,1715193378.1,1332302824.93,761541394.8,885910801.8,565019631.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Value,CSII,191759473.65,168603920.2,161613444.75,160180904.64,221839144.36,250379344.35,376607208.32,454356711.2,879526700.92,839280750.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/MC,CSII,0.95,0.96,0.97,0.9,0.93,0.95,0.87,0.89,0.86,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,CSII,40420000.0,43095000.0,46131000.0,49800000.0,51792000.0,55740000.0,58358000.0,64323000.0,66379000.0,72169000.0,79483000.0,88682000.0,90898000.0,94716000.0,104650000.0,105461000.0,100978000.0,97927000.0,101272000.0,101904000.0,101467000.0,99004000.0,106047000.0,104836000.0,101104000.0,105531000.0,110685000.0,114532000.0,115500000.0,120028000.0,126115000.0,135216000.0,134913000.0,140042000.0,125085000.0,99822000.0,122746000.0,128055000.0,132195000.0,146883000.0,124855000.0,126829000.0,122089000.0,134477000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/EBIT,CSII,4.74,3.91,3.5,3.22,4.28,4.49,6.45,7.06,,12.19,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netto Debt,CSII,3905000.37,2337000.63,3478000.63,4678000.36,4678000.36,4678000.36,5095000.11,5095000.11,5050000.0,3600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit Margin,CSII,-20.68,-20.97,-19.76,-20.1,-22.37,-22.79,-23.49,-23.74,-24.5,-26.77,-27.79,-24.34,-19.89,-11.79,-22.67,-17.89,-30.23,-36.64,-51.09,-10.08,-3.73,2.08,-3.35,1.46,-3.98,-0.78,0.66,6.32,-5.13,0.82,1.06,2.15,-8.96,-4.98,-4.72,-35.65,-3.43,-0.09,-9.49,-7.45,-14.76,-15.16,-17.18,-15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,CSII,-16.53,-18.88,-21.67,-14.31,-17.97,-19.78,-9.31,-10.24,,-5.55,-6.21,-6.33,-5.54,-3.56,-7.47,-6.22,-10.15,-12.5,-22.32,-4.84,-1.8,0.93,-1.54,0.65,-1.65,-0.33,0.29,2.78,-2.16,0.35,0.47,0.99,-4.07,-2.37,-2.02,-5.64,-0.77,-0.02,-2.22,-1.95,-3.27,-3.46,-3.81,-3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close,GE,125.34,130.15,141.83,131.09,144.39,144.82,149.2,175.05,161.69,164.12,160.0,157.81,154.94,165.93,157.5,194.54,198.53,196.6,184.98,197.35,186.1,168.68,151.01,108.98,84.18,85.0,70.51,47.28,62.39,65.57,55.83,69.7,49.59,42.65,38.91,67.45,82.0,84.06,80.43,73.75,71.43,49.7,48.33,65.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,GE,1693004347.0,1695294135.0,1690734896.0,1666200703.0,1666200703.0,1655711775.0,1620043711.0,1610998570.0,1605695871.0,1610437973.0,1606678839.0,1610437973.0,1613408131.0,1616690694.0,1618741895.0,1501858491.0,1472454577.0,1434917434.0,1416528199.0,1416528199.0,1390519575.0,1386353603.0,1386353603.0,1388617611.0,1390297482.0,1390739747.0,1391659345.0,1393444098.0,1393900951.0,1396419381.0,1397422404.0,1399241744.0,1400628107.0,1401620401.0,1402674664.0,1403574567.0,1405679890.0,1405679890.0,1405679890.0,1407819000.0,1407819000.0,1409951837.0,1407819000.0,1407819000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term Debt,GE,138659000000.0,126319000000.0,120435000000.0,101392000000.0,83127000000.0,77184000000.0,80496000000.0,77890000000.0,76121000000.0,73531000000.0,69916000000.0,70425000000.0,69211000000.0,67822000000.0,46495000000.0,49860000000.0,51082000000.0,31927000000.0,31571000000.0,30714000000.0,28324000000.0,30044000000.0,28127000000.0,24036000000.0,19371000000.0,14419000000.0,15206000000.0,12821000000.0,15953000000.0,15620000000.0,17046000000.0,23641000000.0,18122000000.0,9059000000.0,5977000000.0,4713000000.0,4468000000.0,4293000000.0,3814000000.0,4361000000.0,4985000000.0,4947000000.0,4285000000.0,3757000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Debt,GE,233487000000.0,229817000000.0,234673000000.0,236084000000.0,234299000000.0,231285000000.0,226872000000.0,221665000000.0,220992000000.0,216845000000.0,213179000000.0,186596000000.0,190420000000.0,185351000000.0,180011000000.0,144659000000.0,132187000000.0,122504000000.0,115686000000.0,105080000000.0,99674000000.0,103676000000.0,107557000000.0,108575000000.0,105134000000.0,99832000000.0,97060000000.0,95234000000.0,90223000000.0,88735000000.0,74701000000.0,67241000000.0,66388000000.0,72423000000.0,73034000000.0,70189000000.0,66890000000.0,59231000000.0,29854000000.0,30824000000.0,28649000000.0,27571000000.0,26121000000.0,28593000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Cash Equivalents,GE,83650000000.0,74295000000.0,85461000000.0,77268000000.0,89781000000.0,88711000000.0,86500000000.0,88555000000.0,86979000000.0,86570000000.0,90439000000.0,70025000000.0,87055000000.0,91666000000.0,99086000000.0,70483000000.0,75075000000.0,52123000000.0,52530000000.0,48129000000.0,41564000000.0,44049000000.0,39854000000.0,43967000000.0,32129000000.0,27674000000.0,26932000000.0,34847000000.0,34905000000.0,31968000000.0,27810000000.0,35811000000.0,47286000000.0,41431000000.0,39162000000.0,36530000000.0,31783000000.0,22460000000.0,17995000000.0,15770000000.0,12842000000.0,13190000000.0,12596000000.0,17262000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,GE,707719000000.0,694121000000.0,698880000000.0,684999000000.0,670690000000.0,660541000000.0,661438000000.0,656560000000.0,652252000000.0,651869000000.0,650021000000.0,654955000000.0,617631000000.0,610926000000.0,581310000000.0,493072000000.0,462195000000.0,401460000000.0,387693000000.0,365181000000.0,351645000000.0,355472000000.0,378037000000.0,369243000000.0,358110000000.0,342769000000.0,311689000000.0,309584000000.0,315084000000.0,312109000000.0,263008000000.0,265176000000.0,262021000000.0,256486000000.0,254316000000.0,256211000000.0,245164000000.0,237560000000.0,150765000000.0,198874000000.0,191961000000.0,185540000000.0,180877000000.0,187787000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,GE,586131000000.0,570222000000.0,570864000000.0,556529000000.0,541640000000.0,531730000000.0,532393000000.0,519777000000.0,514233000000.0,511802000000.0,506510000000.0,518023000000.0,500333000000.0,492647000000.0,461316000000.0,389960000000.0,366402000000.0,311710000000.0,301097000000.0,284669000000.0,272415000000.0,276497000000.0,280544000000.0,292355000000.0,281369000000.0,267640000000.0,263468000000.0,257723000000.0,259022000000.0,255979000000.0,233857000000.0,235316000000.0,225162000000.0,221234000000.0,219521000000.0,219138000000.0,210010000000.0,202510000000.0,124783000000.0,157261000000.0,151679000000.0,149597000000.0,148127000000.0,150206000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,GE,35080000000.0,36397000000.0,36254000000.0,38953000000.0,34943000000.0,35059000000.0,35661000000.0,7581000000.0,33548000000.0,28940000000.0,32107000000.0,22589000000.0,26239000000.0,29226000000.0,28029000000.0,33891000000.0,27845000000.0,33493000000.0,29266000000.0,28864000000.0,26880000000.0,29097000000.0,30663000000.0,31604000000.0,27788000000.0,30976000000.0,29573000000.0,8675000000.0,27286000000.0,28831000000.0,23360000000.0,10744000000.0,19490000000.0,16804000000.0,16534000000.0,23006000000.0,17071000000.0,18253000000.0,18569000000.0,20303000000.0,17039000000.0,18647000000.0,19084000000.0,21786000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,GE,-17869000000.0,-19199000000.0,-18509000000.0,-18733000000.0,-17315000000.0,-18491000000.0,-19455000000.0,-24580000000.0,-18522000000.0,-20006000000.0,-19740000000.0,-25436000000.0,-18682000000.0,-20573000000.0,-19855000000.0,-23583000000.0,-20361000000.0,-22383000000.0,-20966000000.0,-23942000000.0,-20230000000.0,-21624000000.0,-23671000000.0,-25358000000.0,-20911000000.0,-23038000000.0,-22846000000.0,-2608000000.0,-20353000000.0,-21817000000.0,-17328000000.0,-5354000000.0,-14427000000.0,-13632000000.0,-14150000000.0,-15662000000.0,-12537000000.0,-13619000000.0,-13402000000.0,-14338000000.0,-12453000000.0,-13244000000.0,-14371000000.0,-15467000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,GE,-8330000000.0,-8404000000.0,-8871000000.0,-10292000000.0,-8766000000.0,-8538000000.0,-8680000000.0,7211000000.0,-7962000000.0,-4464000000.0,-6318000000.0,781000000.0,-4706000000.0,-4672000000.0,-4553000000.0,-6508000000.0,-4867000000.0,-5186000000.0,-4581000000.0,-4104000000.0,-4477000000.0,-4285000000.0,-5002000000.0,-4887000000.0,-4209000000.0,-4671000000.0,-4953000000.0,-4639000000.0,-4227000000.0,-4351000000.0,-3392000000.0,-5130000000.0,-3809000000.0,-3745000000.0,-3408000000.0,-6661000000.0,-3455000000.0,-3468000000.0,-3372000000.0,-5700000000.0,-4292000000.0,-3416000000.0,-3554000000.0,-3800000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,GE,3034000000.0,3105000000.0,3491000000.0,4011000000.0,3527000000.0,3133000000.0,3191000000.0,3206000000.0,2999000000.0,3545000000.0,3537000000.0,5153000000.0,-13575000000.0,-1360000000.0,2509000000.0,6299000000.0,229000000.0,2907000000.0,2027000000.0,2336000000.0,-84000000.0,1055000000.0,1363000000.0,-10817000000.0,-1150000000.0,804000000.0,-22770000000.0,762000000.0,3587000000.0,128000000.0,-9423000000.0,730000000.0,6199000000.0,-1988000000.0,308000000.0,1186000000.0,-2802000000.0,-1130000000.0,1256000000.0,-3844000000.0,-1043000000.0,-791000000.0,-165000000.0,2223000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Capitalization,GE,212201164852.98,220642531670.25,239796930299.68,218422250156.27,240582719506.17,239780179255.5,241710521681.2,282005299678.5,259624965381.99,264305080128.76,257068614240.0,254143216519.13,249981455817.14,268257486855.42,254951848462.5,292171550839.14,292326407171.81,282104767524.4,262029386251.02,279551840072.65,258775692907.5,233850125754.04,209353257589.03,151331547246.78,117035242034.76,118212878495.0,98125900415.95,65882036953.44,86965480332.89,91563218812.17,78018092815.32,97527149556.8,69457147826.13,59779110102.65,54578071176.24,94671104544.15,115265750980.0,118161451553.4,113058833552.7,103826651250.0,100560511170.0,70074606298.9,68039892270.0,92085440790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Value,GE,500697164852.98,502483531670.25,509443930299.68,478630250156.27,468227719506.17,459538179255.5,462578521681.2,493005299678.5,469758965381.99,468111080128.76,449724614240.0,441139216519.13,422557455817.14,429764486855.42,382371848462.5,416207550839.14,400520407171.81,384412767524.4,356756386251.02,367216840072.65,345209692907.5,323521125754.04,305183257589.03,239975547246.78,209411242034.76,204789878495.0,183459900415.95,139090036953.44,158236480332.89,163950218812.17,141955092815.32,152598149556.8,106681147826.13,99830110102.65,94427071176.24,133043104544.15,154840750980.0,159225451553.4,128731833552.7,123241651250.0,121352511170.0,89402606298.9,85849892270.0,107173440790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/MC,GE,2.36,2.28,2.12,2.19,1.95,1.92,1.91,1.75,1.81,1.77,1.75,1.74,1.69,1.6,1.5,1.42,1.37,1.36,1.36,1.31,1.33,1.38,1.46,1.59,1.79,1.73,1.87,2.11,1.82,1.79,1.82,1.56,1.54,1.67,1.73,1.41,1.34,1.35,1.14,1.19,1.21,1.28,1.26,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,GE,61279000000.0,64000000000.0,63634000000.0,67978000000.0,61024000000.0,62088000000.0,63796000000.0,24950000000.0,60032000000.0,53410000000.0,58165000000.0,47244000000.0,49627000000.0,54471000000.0,52437000000.0,63982000000.0,53073000000.0,61062000000.0,54813000000.0,56910000000.0,51587000000.0,55006000000.0,59336000000.0,61849000000.0,52908000000.0,58685000000.0,57372000000.0,15922000000.0,51866000000.0,54999000000.0,44080000000.0,21228000000.0,37726000000.0,34181000000.0,34092000000.0,45329000000.0,33063000000.0,35340000000.0,35343000000.0,40341000000.0,33784000000.0,35307000000.0,37009000000.0,41053000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/EBIT,GE,8.17,7.85,8.01,7.04,7.67,7.4,7.25,19.76,7.83,8.76,7.73,9.34,8.51,7.89,7.29,6.51,7.55,6.3,6.51,6.45,6.69,5.88,5.14,3.88,3.96,3.49,3.2,8.74,3.05,2.98,3.22,7.19,2.83,2.92,2.77,2.94,4.68,4.51,3.64,3.05,3.59,2.53,2.32,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netto Debt,GE,138659000002.79,126319000003.09,120435000002.75,101392000003.06,83127000002.61,77184000002.61,80496000002.62,77890000002.5,76121000002.54,73531000002.5,69916000002.36,70425000002.66,69211000002.19,67822000002.02,46495000001.82,49860000002.05,51082000001.76,31927000002.35,31571000002.2,30714000002.18,28324000002.4,30044000002.35,28127000002.7,24036000002.47,19371000003.27,14419000003.61,15206000003.6,12821000002.73,15953000002.58,15620000002.78,17046000002.69,23641000001.88,18122000001.4,9059000001.75,5977000001.86,4713000001.92,4468000002.1,4293000002.64,3814000001.66,4361000001.95,4985000002.23,4947000002.09,4285000002.07,3757000001.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit Margin,GE,8.65,8.53,9.63,10.3,10.09,8.94,8.95,42.29,8.94,12.25,11.02,22.81,-51.74,-4.65,8.95,18.59,0.82,8.68,6.93,8.09,-0.31,3.63,4.45,-34.23,-4.14,2.6,-77.0,8.78,13.15,0.44,-40.34,6.79,31.81,-11.83,1.86,5.16,-16.41,-6.19,6.76,-18.93,-6.12,-4.24,-0.86,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,GE,2.5,2.51,2.73,3.12,2.73,2.43,2.47,2.34,2.17,2.53,2.46,3.76,-11.57,-1.15,2.09,6.11,0.24,3.24,2.34,2.9,-0.11,1.34,1.4,-14.07,-1.5,1.07,-47.22,1.47,6.4,0.23,-32.32,2.44,16.82,-5.64,0.89,3.2,-7.97,-3.22,4.83,-9.24,-2.59,-2.2,-0.5,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close,APAM,,39.45,49.91,52.36,65.19,64.25,56.68,52.05,50.53,45.46,46.46,35.23,36.06,30.84,27.68,27.2,29.75,27.6,30.7,32.6,39.5,33.3,30.15,32.4,22.11,25.17,27.52,28.24,32.32,21.49,32.5,38.99,50.34,52.17,50.82,48.92,47.64,39.35,35.57,26.93,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,APAM,,0.0,0.0,68918544.0,70285879.0,71070808.0,71525819.0,72927543.0,72927543.0,73401398.0,73423348.0,73409072.0,73408928.0,74478101.0,74475391.0,74457840.0,74457840.0,53513514.0,59111111.0,59111111.0,75570365.0,75569845.0,47360438.0,58333333.0,54300000.0,54300000.0,50145684.0,51448938.0,51700000.0,53300000.0,55900000.0,56400000.0,57000000.0,58700000.0,59800000.0,60000000.0,60900000.0,60900000.0,62300000.0,62623434.0,62623434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term Debt,APAM,290000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,199314000.0,199355000.0,199395000.0,199436000.0,199477000.0,199517000.0,199558000.0,198932000.0,199129000.0,199171000.0,199213000.0,199255000.0,199296000.0,199338000.0,199380000.0,199057000.0,199103000.0,199148000.0,199194000.0,199239000.0,199284000.0,199330000.0,199375000.0,199421000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Debt,APAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199444000.0,199511000.0,199557000.0,199007000.0,199050000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Cash Equivalents,APAM,151339000.0,212097000.0,273472000.0,294347000.0,230995000.0,238634000.0,236693000.0,266575000.0,182284000.0,215109000.0,215464000.0,217671000.0,166193000.0,217916000.0,197789000.0,212609000.0,156777000.0,222182000.0,217391000.0,221749000.0,159167000.0,245614000.0,236983000.0,226974000.0,174906000.0,154369000.0,158718000.0,173297000.0,143626000.0,177395000.0,195655000.0,230313000.0,198821000.0,281097000.0,241193000.0,289835000.0,200142000.0,203041000.0,163290000.0,186993000.0,143248000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,APAM,287560000.0,426435000.0,490961000.0,541787000.0,581398000.0,877128000.0,932574000.0,983965000.0,849452000.0,1005390000.0,1018290000.0,1010829000.0,945846000.0,1002632000.0,995897000.0,1006971000.0,936166000.0,1107495000.0,1135414000.0,1160921000.0,837155000.0,954183000.0,950725000.0,876302000.0,805014000.0,906510000.0,928728000.0,965953000.0,933619000.0,973994000.0,1001903000.0,1082539000.0,1151962000.0,1284944000.0,1219814000.0,1259009000.0,1208047000.0,1257226000.0,1293174000.0,1342884000.0,1234608000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,APAM,603081000.0,420685000.0,428743000.0,445847000.0,449087000.0,757550000.0,808243000.0,837594000.0,741953000.0,895928000.0,906261000.0,892526000.0,829295000.0,882021000.0,880648000.0,886950000.0,818452000.0,966786000.0,980581000.0,988860000.0,666509000.0,773611000.0,740494000.0,708733000.0,630178000.0,777013000.0,783171000.0,804274000.0,752008000.0,826023000.0,830070000.0,868617000.0,867167000.0,954954000.0,888892000.0,890665000.0,801051000.0,898213000.0,922802000.0,958890000.0,819971000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,APAM,119673000.0,120786000.0,128083000.0,137036000.0,148223000.0,161933000.0,178092000.0,197593000.0,201792000.0,208487000.0,212406000.0,206016000.0,203575000.0,211573000.0,198313000.0,192008000.0,174529000.0,180768000.0,184081000.0,181481000.0,184074000.0,196273000.0,204556000.0,210721000.0,212008000.0,212296000.0,212788000.0,191543000.0,186962000.0,200727000.0,202961000.0,208302000.0,202836000.0,202942000.0,232753000.0,261036000.0,290677000.0,304949000.0,316574000.0,315036000.0,281598000.0,251388000.0,234312000.0,225987000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,APAM,-90508000.0,-48630000.0,-112424000.0,-77378000.0,-405911000.0,-93102000.0,-102911000.0,-111399000.0,-109492000.0,-101461000.0,-103174000.0,-100839000.0,-108841000.0,-104358000.0,-101691000.0,-99348000.0,-95299000.0,-95147000.0,-96371000.0,-97098000.0,-99588000.0,-102765000.0,-98525000.0,-102002000.0,-105224000.0,-106744000.0,-102741000.0,-98457000.0,-99282000.0,-101486000.0,-99847000.0,-99841000.0,-104717000.0,-102204000.0,-108657000.0,-120240000.0,-139465000.0,-138013000.0,-142235000.0,-143341000.0,-139932000.0,-127394000.0,-122033000.0,-121023000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,APAM,-24800000.0,-30649000.0,-53877000.0,-20225000.0,-163626000.0,-20447000.0,-21821000.0,-27828000.0,-25148000.0,-26201000.0,-28216000.0,-27267000.0,-26905000.0,-28902000.0,-26067000.0,-26972000.0,-24505000.0,-26608000.0,-25801000.0,-25796000.0,-26454000.0,-27005000.0,-25401000.0,-27473000.0,-26798000.0,-26675000.0,-28210000.0,-28845000.0,-29948000.0,-28383000.0,-27566000.0,-29144000.0,-27159000.0,-24111000.0,-26851000.0,-27304000.0,-29403000.0,-29133000.0,-31281000.0,-33874000.0,-34675000.0,-35586000.0,-33553000.0,-34992000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,APAM,0.0,0.0,0.0,0.0,2950000.0,5798000.0,5977000.0,10082000.0,8636000.0,19260000.0,20439000.0,21294000.0,19514000.0,23736000.0,18474000.0,20077000.0,16261000.0,18384000.0,19086000.0,19299000.0,19795000.0,26632000.0,30665000.0,-27493000.0,41274000.0,42006000.0,42518000.0,32511000.0,31539000.0,39188000.0,41256000.0,44553000.0,34825000.0,46151000.0,58527000.0,73114000.0,77278000.0,88207000.0,86413000.0,84618000.0,65433000.0,44279000.0,44235000.0,52808000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Capitalization,APAM,,0.0,0.0,3608574963.84,4581936452.01,4566299414.0,4054083420.92,3795878613.15,3685028747.79,3336827553.08,3411248748.08,2586201606.56,2647125943.68,2296904634.84,2061478822.88,2025253248.0,2215120740.0,1476972986.4,1814711107.7,1927022218.6,2985029417.5,2516475838.5,1427917205.7,1889999989.2,1200573000.0,1366731000.0,1380009223.68,1452918009.12,1670944000.0,1145417000.0,1816750000.0,2199036000.0,2869380000.0,3062379000.0,3039036000.0,2935200000.0,2901276000.0,2396415000.0,2216011000.0,1686449077.62,1859915989.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Value,APAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/MC,APAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,APAM,234981000.0,200065000.0,294384000.0,234639000.0,717760000.0,275482000.0,302824000.0,336820000.0,336432000.0,336149000.0,343796000.0,334122000.0,339321000.0,344833000.0,326071000.0,318328000.0,294333000.0,302523000.0,306253000.0,304375000.0,310116000.0,326043000.0,328482000.0,340196000.0,344030000.0,345715000.0,343739000.0,318845000.0,316192000.0,330596000.0,330374000.0,337287000.0,334712000.0,329257000.0,368261000.0,408580000.0,459545000.0,472095000.0,490090000.0,492251000.0,456205000.0,414368000.0,389898000.0,382002000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/EBIT,APAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netto Debt,APAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit Margin,APAM,0.0,0.0,0.0,0.0,1.99,3.58,3.36,5.1,4.28,9.24,9.62,10.34,9.59,11.22,9.32,10.46,9.32,10.17,10.37,10.63,10.75,13.57,14.99,-13.05,19.47,19.79,19.98,16.97,16.87,19.52,20.33,21.39,17.17,22.74,25.15,28.01,26.59,28.93,27.3,26.86,23.24,17.61,18.88,23.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,APAM,,,,-0.0,51.3,9.32,6.23,7.62,7.22,15.49,13.96,19.81,17.83,21.19,15.62,17.23,13.48,15.95,15.9,16.39,14.07,17.2,17.82,-16.11,22.86,19.98,25.37,18.6,24.36,26.92,25.52,24.53,23.54,26.86,27.36,25.67,23.42,26.65,23.46,20.79,18.23,11.96,11.52,12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close,USMD,,,,,,,,,,,,,,10.75,18.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,USMD,,,,,,,,,,,,,,11393086.0,11393086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term Debt,USMD,4926000.0,5032000.0,5102000.0,5179000.0,7842000.0,9418000.0,6955000.0,4337000.0,2577000.0,2411000.0,2554000.0,2469000.0,8607000.0,9043000.0,8990000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
